NAME                                                                                     VERSION                               TYPE       
github.com/spiffe/go-spiffe/v2                                                           v2.2.0                                go-module  
github.com/stoewer/go-strcase                                                            v1.3.0                                go-module  
github.com/subosito/gotenv                                                               v1.6.0                                go-module  
github.com/syndtr/goleveldb                                                              v1.0.1-0.20220721030215-126854af5e6d  go-module  
github.com/tchap/go-patricia/v2                                                          v2.3.1                                go-module  
github.com/tektoncd/chains                                                               v0.19.0                               go-module  
github.com/theupdateframework/go-tuf                                                     v0.7.0                                go-module  
github.com/titanous/rocacheck                                                            v0.0.0-20171023193734-afe73141d399    go-module  
github.com/tjfoc/gmsm                                                                    v1.4.1                                go-module  
github.com/transparency-dev/merkle                                                       v0.0.2                                go-module  
github.com/vbatts/tar-split                                                              v0.11.5                               go-module  
github.com/veraison/go-cose                                                              v1.2.1                                go-module  
github.com/x448/float16                                                                  v0.8.4                                go-module  
github.com/xanzy/go-gitlab                                                               v0.105.0                              go-module  
github.com/xeipuuv/gojsonpointer                                                         v0.0.0-20190905194746-02993c407bfb    go-module  
github.com/xeipuuv/gojsonreference                                                       v0.0.0-20180127040603-bd5ef7bd5415    go-module  
github.com/xlab/treeprint                                                                v1.2.0                                go-module  
github.com/yashtewari/glob-intersection                                                  v0.2.0                                go-module  
github.com/zach-klippenstein/goregen                                                     v0.0.0-20160303162051-795b5e3961ea    go-module  
github.com/zeebo/errs                                                                    v1.3.0                                go-module  
go.mongodb.org/mongo-driver                                                              v1.15.0                               go-module  
go.opencensus.io                                                                         v0.24.0                               go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc              v0.49.0                               go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                            v0.51.0                               go-module  
go.opentelemetry.io/otel                                                                 v1.26.0                               go-module  
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc                        v1.26.0                               go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                                        v1.26.0                               go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc                          v1.26.0                               go-module  
go.opentelemetry.io/otel/exporters/prometheus                                            v0.46.0                               go-module  
go.opentelemetry.io/otel/metric                                                          v1.26.0                               go-module  
go.opentelemetry.io/otel/sdk                                                             v1.26.0                               go-module  
go.opentelemetry.io/otel/sdk/metric                                                      v1.26.0                               go-module  
go.opentelemetry.io/otel/trace                                                           v1.26.0                               go-module  
go.opentelemetry.io/proto/otlp                                                           v1.2.0                                go-module  
go.starlark.net                                                                          v0.0.0-20240520160348-046347dcd104    go-module  
go.step.sm/crypto                                                                        v0.46.0                               go-module  
go.uber.org/automaxprocs                                                                 v1.5.3                                go-module  
go.uber.org/multierr                                                                     v1.11.0                               go-module  
go.uber.org/zap                                                                          v1.27.0                               go-module  
golang.org/x/crypto                                                                      v0.25.0                               go-module  
golang.org/x/exp                                                                         v0.0.0-20240604190554-fc45aab8b7f8    go-module  
golang.org/x/mod                                                                         v0.18.0                               go-module  
golang.org/x/net                                                                         v0.26.0                               go-module  
golang.org/x/oauth2                                                                      v0.21.0                               go-module  
golang.org/x/sync                                                                        v0.7.0                                go-module  
golang.org/x/sys                                                                         v0.22.0                               go-module  
golang.org/x/term                                                                        v0.22.0                               go-module  
golang.org/x/text                                                                        v0.16.0                               go-module  
golang.org/x/time                                                                        v0.5.0                                go-module  
gomodules.xyz/jsonpatch/v2                                                               v2.4.0                                go-module  
google.golang.org/api                                                                    v0.183.0                              go-module  
google.golang.org/genproto                                                               v0.0.0-20240604185151-ef581f913117    go-module  
google.golang.org/genproto/googleapis/api                                                v0.0.0-20240604185151-ef581f913117    go-module  
google.golang.org/genproto/googleapis/rpc                                                v0.0.0-20240604185151-ef581f913117    go-module  
google.golang.org/grpc                                                                   v1.65.0                               go-module  
google.golang.org/protobuf                                                               v1.34.1                               go-module  
gopkg.in/evanphx/json-patch.v4                                                           v4.12.0                               go-module  
gopkg.in/go-jose/go-jose.v2                                                              v2.6.3                                go-module  
gopkg.in/inf.v0                                                                          v0.9.1                                go-module  
gopkg.in/ini.v1                                                                          v1.67.0                               go-module  
gopkg.in/yaml.v2                                                                         v2.4.0                                go-module  
gopkg.in/yaml.v3                                                                         v3.0.1                                go-module  
k8s.io/api                                                                               v0.30.3                               go-module  
k8s.io/apiextensions-apiserver                                                           v0.30.1                               go-module  
k8s.io/apimachinery                                                                      v0.30.3                               go-module  
k8s.io/apiserver                                                                         v0.30.1                               go-module  
k8s.io/cli-runtime                                                                       v0.30.3                               go-module  
k8s.io/client-go                                                                         v0.30.3                               go-module  
k8s.io/component-base                                                                    v0.30.1                               go-module  
k8s.io/klog/v2                                                                           v2.130.1                              go-module  
k8s.io/kube-aggregator                                                                   v0.30.1                               go-module  
k8s.io/kube-openapi                                                                      v0.0.0-20240521193020-835d969ad83a    go-module  
k8s.io/kubectl                                                                           v0.30.1                               go-module  
k8s.io/utils                                                                             v0.0.0-20240502163921-fe8a2dddb1d0    go-module  
oras.land/oras-go/v2                                                                     v2.5.0                                go-module  
sigs.k8s.io/apiserver-network-proxy/konnectivity-client                                  v0.30.3                               go-module  
sigs.k8s.io/controller-runtime                                                           v0.18.4                               go-module  
sigs.k8s.io/json                                                                         v0.0.0-20221116044647-bc3834ca7abd    go-module  
sigs.k8s.io/kustomize/api                                                                v0.17.3                               go-module  
sigs.k8s.io/kustomize/kyaml                                                              v0.17.2                               go-module  
sigs.k8s.io/release-utils                                                                v0.8.4                                go-module  
sigs.k8s.io/structured-merge-diff/v4                                                     v4.4.1                                go-module  
sigs.k8s.io/yaml                                                                         v1.4.0                                go-module  
stdlib                                                                                   go1.22.10                             go-module  
tzdata                                                                                   2024b-r1                              apk        
wolfi-baselayout                                                                         20230201-r15                          apk
